country,pop,fertility,child,gdp,Avg_Temperature,Avg_Precipitation,Avg_Seasonality,Avg_Aridity,score
New Zealand,0.0031902853246592623,0.15502840874315413,0.0213861438682414,0.2159607691692647,0.333333333,0.4,0.333333333,0.333333333,32.5
Nicaragua,0.0041379009978531126,0.30103864962051774,0.13717548264998616,0.023175274462097363,0.866666667,0.866666667,0.8,0.2,0.625
Nigeria,0.1158075081404907,0.7391531421686374,0.8223050816774872,0.020383943956692588,0.65,0.55,0.45,0.45,10.375
North Korea,0.01851588656043555,0.1542464239931873,0.17797550271550944,0.009513198243025987,0.34,0.3,0.3,0.28,13.875
Norway,0.0036250333533563873,0.13112728377936433,0.004615992240291375,0.35813862753918635,0.333333333,0.333333333,0.3,0.316666667,17.375
Oman,0.0022316903809863624,0.39976223855460286,0.06491581704976886,0.20952680757078743,0.6,0.2,0.1,0.8,0.125
Pakistan,0.13623134999433908,0.5793918649211738,0.50142777080406,0.02081711210267096,0.457142857,0.428571429,0.35,0.478571429,2.125
Panama,0.0025696315562006374,0.254367945866599,0.0999850658771189,0.11596897683877254,0.866666667,0.866666667,0.8,0.2,0.75
Papua New Guinea,0.005165752895050412,0.4800908049820614,0.32432333334514823,0.0177645174028528,0.866666667,0.866666667,0.8,0.2,1.125
Paraguay,0.004149697800553275,0.33622707820856035,0.1385912376269861,0.059108587478363867,0.62,0.68,0.56,0.36,0.375
Peru,0.021301280109848886,0.260459332529023,0.13827562385695483,0.048330713328288234,0.518181818,0.518181818,0.4,0.4,0.875
Philippines,0.06772378400280288,0.35500149917689394,0.17489871766037568,0.030543400843117463,0.76,0.86,0.7,0.2,2.75
Poland,0.029185173197552726,0.07473697615722005,0.024921788199566676,0.11856901393852692,0.466666667,0.433333333,0.4,0.433333333,64.625
Portugal,0.0078830161593173,0.0696071628332307,0.013512545779599438,0.18053106913098735,0.6,0.7,0.5,0.45,12.625
Qatar,0.001022879052007375,0.24889352742426119,0.03963750017053895,0.4830739154989829,0.6,0.2,0.1,0.8,3.5
Romania,0.016165359085547937,0.08449096576241219,0.06614880561578225,0.1032455124599875,0.46,0.46,0.4,0.48,37.5
Russia,0.1117014326234736,0.08314295376779464,0.05347651700661004,0.12011415149011617,0.366666667,0.36,0.326666667,0.34,111.75
Rwanda,0.007287011512217375,0.637769345944223,0.48733095251618447,0.004559076438708363,0.533333333,0.7,0.5,0.333333333,0.125
Saudi Arabia,0.016265292686137287,0.387758631298949,0.06922007603119107,0.25445438848784935,0.55,0.15,0.1,0.85,0.625
Senegal,0.009005431746866938,0.6367312521749712,0.43309962651028566,0.013597834818452288,0.625,0.55,0.425,0.45,1.0
Serbia,0.00570877986745905,0.07417764201233805,0.037869493867666276,0.07283830400965403,0.533333333,0.566666667,0.5,0.466666667,9.5
Sierra Leone,0.0043162032096413375,0.6940680639350651,0.9368410025704962,0.004781550488446563,0.8,0.8,0.7,0.25,0.25
Slovakia,0.004107828288625775,0.07992595466734138,0.027542455079481113,0.12414998090225338,0.466666667,0.433333333,0.4,0.433333333,13.625
Slovenia,0.00154259453177385,0.07522634667240748,0.006008882396680175,0.17599303473487965,0.5,0.5,0.45,0.45,13.5
Solomon Islands,0.00038760010247235004,0.5473870182943026,0.13002539593654397,0.011265643950492787,1.0,1.0,1.0,0.1,0.125
Somalia,0.008340576349981425,0.9620618438362692,0.8317430575174758,0.0019852817383174,0.6,0.5,0.366666667,0.5,0.25
South Africa,0.03863067052907462,0.2519700451384171,0.27890728682794685,0.06851427069218696,0.518181818,0.536363636,0.390909091,0.5,19.125
South Korea,0.0367401542812068,0.04957199308796447,0.014276859173107824,0.17199448339776208,0.45,0.466666667,0.416666667,0.35,68.0
Spain,0.03341326214511329,0.050388406922747375,0.008318469025761388,0.20878212963877824,0.5,0.566666667,0.433333333,0.5,60.875
Sri Lanka,0.015225640572769287,0.1918202689600253,0.06175015677178902,0.045708495728340785,0.9,0.933333333,0.833333333,0.166666667,0.375
Sudan,0.02507728687804905,0.659525303205332,0.4477298223647719,0.020464149825913852,0.566666667,0.433333333,0.333333333,0.533333333,0.5
Suriname,0.0003886991485043625,0.27096211578852925,0.1355751276403846,0.09011896024733153,0.95,0.95,0.9,0.15,0.25
Sweden,0.007079327352646625,0.12746458743307024,0.003191196605822975,0.26357565632548297,0.375,0.35,0.325,0.35,40.125
Switzerland,0.00581537608105425,0.08495080270583094,0.011468318556715176,0.3684273217561761,0.35,0.375,0.325,0.35,18.625
Syria,0.014045266341249649,0.4194409173467486,0.09555604454393118,0.033433793153413764,0.5,0.4,0.283333333,0.616666667,1.0
Tajikistan,0.005565639939941575,0.41132561065990547,0.30119510021769724,0.010857463937915562,0.4125,0.3875,0.325,0.4625,2.5
Tanzania,0.03170972920415294,0.6790322118549227,0.47614779817649516,0.007177822875345838,0.65,0.75,0.6,0.2875,1.125
Thailand,0.049850092919542725,0.10168425710932856,0.0724683913343586,0.07417604451900901,0.775,0.825,0.725,0.225,13.375
Togo,0.0046871243798562254,0.6222163362439086,0.5186176878373012,0.007344175191088975,0.7,0.7,0.6,0.3,0.25
Trinidad and Tobago,0.001036766806100125,0.11778384343627277,0.11652609471854213,0.12498888423199069,0.8,0.8,0.7,0.25,4.75
Tunisia,0.007866336756172737,0.19587950774984728,0.11670238205989822,0.0501128020866082,0.5,0.36,0.24,0.64,7.625
Turkey,0.05393734101334643,0.20489389053106413,0.12121092009482233,0.11257829844139802,0.5,0.522222222,0.444444444,0.444444444,20.0
Turkmenistan,0.0039936448879220625,0.3161613111573242,0.33668845587893587,0.05545134053022036,0.475,0.4,0.275,0.6,1.375
UAE,0.004190739087218487,0.18674242802652247,0.036687578043918014,0.4948666279386439,0.6,0.2,0.1,0.8,1.0
USA,0.22759384292080667,0.14740781492949717,0.027287280332771963,0.3176852431641697,0.481818182,0.463636364,0.4,0.395454545,213.125
Uganda,0.022591409986280137,0.7756496812836446,0.5028312488440223,0.00609866178604845,0.716666667,0.75,0.65,0.3,2.5
Ukraine,0.03679365270719135,0.06096282545794807,0.056593534196860265,0.06406797400394308,0.483333333,0.466666667,0.416666667,0.45,56.875
Uruguay,0.0025050493872796125,0.16763499192781714,0.05346364469178722,0.10247613868599298,0.55,0.65,0.55,0.5,1.125
Uzbekistan,0.02063381176609254,0.3019040185185923,0.21472519624126352,0.0246701999783566,0.45,0.425,0.35,0.5125,17.375
Venezuela,0.020002481112302812,0.25082240326379773,0.10960241009552883,0.09823886983684328,0.642857143,0.657142857,0.528571429,0.371428571,9.375
Vietnam,0.0632007055150918,0.18916337973345093,0.13130450136214294,0.028629340105366226,0.7,0.766666667,0.633333333,0.266666667,1.875
Zambia,0.009650584425578163,0.6827036446861823,0.5524987452811768,0.011996010215631375,0.5,0.65,0.45,0.325,1.75
Zimbabwe,0.0097959944898995,0.4640249969347192,0.41292237527504044,0.011059894117009738,0.52,0.56,0.38,0.42,2.0
